movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,genres,comb
avatar,James Cameron,CCH Pounder,Joel David Moore,Wes Studi,Action Adventure Fantasy Sci-Fi,CCH Pounder Joel David Moore Wes Studi James Cameron Action Adventure Fantasy Sci-Fi
pirates of the caribbean: at world's end,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action Adventure Fantasy
star wars: episode vii - the force awakens            ,Doug Walker,Doug Walker,Rob Walker,unknown,Documentary,Doug Walker Rob Walker unknown Doug Walker Documentary
tangled,Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,Adventure Animation Comedy Family Fantasy Musical Romance,Brad Garrett Donna Murphy M.C. Gainey Nathan Greno Adventure Animation Comedy Family Fantasy Musical Romance
harry potter and the half-blood prince,David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint,Adventure Family Fantasy Mystery,Alan Rickman Daniel Radcliffe Rupert Grint David Yates Adventure Family Fantasy Mystery
superman returns,Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella,Action Adventure Sci-Fi,Kevin Spacey Marlon Brando Frank Langella Bryan Singer Action Adventure Sci-Fi
quantum of solace,Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Action Adventure,Giancarlo Giannini Mathieu Amalric Rory Kinnear Marc Forster Action Adventure
pirates of the caribbean: dead man's chest,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action Adventure Fantasy
the chronicles of narnia: prince caspian,Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Action Adventure Family Fantasy,Peter Dinklage Pierfrancesco Favino Damián Alcázar Andrew Adamson Action Adventure Family Fantasy
pirates of the caribbean: on stranger tides,Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham,Action Adventure Fantasy,Johnny Depp Sam Claflin Stephen Graham Rob Marshall Action Adventure Fantasy
robin hood,Ridley Scott,Mark Addy,William Hurt,Scott Grimes,Action Adventure Drama History,Mark Addy William Hurt Scott Grimes Ridley Scott Action Adventure Drama History
the golden compass,Chris Weitz,Christopher Lee,Eva Green,Kristin Scott Thomas,Adventure Family Fantasy,Christopher Lee Eva Green Kristin Scott Thomas Chris Weitz Adventure Family Fantasy
